Inventory_ID,Month_Name,Month_Number,Quarter,Year,Calendar_YearMonth,Distributor_Code,Distributor_Name,City,Zone,Tier,Owner_Name,GST_Number,Credit_Limit,Years_Active,SKU_Code,SKU_Name,Sub_Category,Category,SBU,MRP,Cost_Price,Distributor_Price,Opening_Stock,Received_Qty,Sold_Qty,Damage_Qty,Expiry_Qty,Closing_Stock,Reorder_Level,Stock_Status,Inventory_Value,Damage_Value,Expiry_Value,Turnover_Ratio,Days_Of_Stock
INV000011,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,PURIS-VALUE10,VALUE SACHET,BATH SOAP,BATH SOAP,PERSONAL CARE,13,8.45,11.31,328.4,754.5,430.7,6.4,1.3,652.2,120.9,Adequate,5511.09,54.08,10.98,0.88,45.4
INV000012,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,PURIS-GUARD75,GUARD SOAP 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,56,36.4,48.72,395.6,645.9,720.2,4.9,4.3,321.3,91.9,Adequate,11695.32,178.36,156.52,2.01,13.4
INV000013,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FOAMX-SG200,SHOWER GEL 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,255,165.75,221.85,388.4,241.1,301.1,3.6,3.0,328.4,129.1,Adequate,54432.3,596.7,497.25,0.84,32.7
INV000014,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FOAMX-SG100,SHOWER GEL 100ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,138,89.7,120.06,226.8,482.8,238.6,4.4,1.8,471.0,122.5,Adequate,42248.7,394.68,161.46,0.68,59.2
INV000015,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,CLEANOZ-HW200,HAND WASH 200ML,HAND WASH,HAND WASH,PERSONAL CARE,170,110.5,147.9,177.1,164.8,102.8,1.4,0.6,239.1,63.8,Adequate,26420.55,154.7,66.3,0.49,69.8
INV000016,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,CLEANOZ-HW500,HAND WASH 500ML,HAND WASH,HAND WASH,PERSONAL CARE,275,178.75,239.25,279.8,753.0,94.6,2.0,0.6,938.2,153.7,Adequate,167703.25,357.5,107.25,0.16,297.5
INV000017,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,CLEANOZ-PWDR,POWDER HAND WASH 100G,HAND WASH,HAND WASH,PERSONAL CARE,82,53.3,71.34,264.3,292.1,328.8,7.4,2.6,227.6,128.8,Adequate,12131.08,394.42,138.58,1.34,20.8
INV000018,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,DIVYA-PUJA,PUJA SPECIAL AGARBATTI,AGARBATTI,AGARBATTI,HOME ESSENTIALS,48,31.2,41.76,136.9,682.5,608.9,4.3,2.4,210.5,137.5,Adequate,6567.6,134.16,74.88,3.51,10.4
INV000019,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,DIVYA-DHOOP,DHOOP STICKS,AGARBATTI,AGARBATTI,HOME ESSENTIALS,72,46.8,62.64,254.5,158.1,296.6,2.8,2.4,116.0,129.7,Low,5428.8,131.04,112.32,1.6,11.7
INV000020,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,DIVYA-ECO,ECONOMY PACK,AGARBATTI,AGARBATTI,HOME ESSENTIALS,24,15.6,20.88,144.4,187.0,165.3,1.4,0.8,166.1,142.8,Adequate,2591.16,21.84,12.48,1.06,30.1
INV000021,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,107.7,371.6,242.0,5.1,2.3,237.3,144.9,Adequate,17275.44,371.28,167.44,1.4,29.4
INV000022,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,SHINEZ-FC1L,FLOOR CLEAN 1 LTR,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,190,123.5,165.3,421.5,141.9,337.3,7.0,2.6,226.1,65.1,Adequate,27923.35,864.5,321.1,1.04,20.1
INV000023,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,BLOSOM-TLC100,BODY TALC 100G,BODY TALC,BODY TALC,PERSONAL CARE,88,57.2,76.56,593.6,651.5,160.2,1.4,1.5,1084.9,130.6,Adequate,62056.28,80.08,85.8,0.19,203.2
INV000024,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,326.9,561.7,682.2,15.9,4.3,206.4,73.5,Adequate,20794.8,1601.92,433.22,2.56,9.1
INV000025,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,GUARDIA-HS100,HAND SANITIZER 100ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,82,53.3,71.34,352.0,342.6,155.6,2.0,1.2,539.0,129.0,Adequate,28728.7,106.6,63.96,0.35,103.9
INV000026,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,GUARDIA-HS200,HAND SANITIZER 200ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,138,89.7,120.06,225.0,329.4,268.6,4.1,2.7,285.8,128.8,Adequate,25636.26,367.77,242.19,1.05,31.9
INV000027,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,379.4,229.5,284.6,2.8,1.5,324.3,65.5,Adequate,16442.01,141.96,76.05,0.81,34.2
INV000028,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,HELIX-AL500,ANTISEPTIC LIQUID 500ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,285,185.25,247.95,459.2,671.5,812.1,12.1,3.6,318.6,135.8,Adequate,59020.65,2241.53,666.9,2.09,11.8
INV000029,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,SHINEZ-SD500,SURFACE DISINFECTANT 500ML,SURFACE CARE,SURFACE CARE,HOME CARE,185,120.25,160.95,342.0,593.5,189.8,3.1,1.6,745.7,101.6,Adequate,89670.43,372.78,192.4,0.35,117.9
INV000030,January,1,Q1,2024,2024-01,DT1001,VELAVAN AGENCIES,Chennai,North,Tier 1,Rajesh Kumar,33FICTD1001M1Z5,200000,7,FOAMX-BODYWASH,MOISTURISING BODY WASH 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,265,172.25,230.55,195.8,374.8,331.3,3.7,0.9,239.3,99.7,Adequate,41219.43,637.33,155.03,1.52,21.7
INV000031,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,455.6,372.2,527.4,8.6,4.5,300.4,134.9,Adequate,1952.6,55.9,29.25,1.4,17.1
INV000032,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FLMSTK-WX40,WAX PREMIUM 40S,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,12,7.8,10.44,419.0,372.7,349.6,3.6,2.9,442.1,106.3,Adequate,3448.38,28.08,22.62,0.81,37.9
INV000033,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FLMSTK-SF01,SAFETY PACK,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,9,5.85,7.83,171.8,167.3,252.6,3.2,1.6,86.5,143.3,Low,506.02,18.72,9.36,1.96,10.3
INV000034,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,ZESTO-SPORT-M,SPORT BLAST MEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,476.8,373.5,151.4,2.0,0.6,698.9,84.2,Adequate,113571.25,325.0,97.5,0.26,138.5
INV000035,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,ZESTO-SPORT-W,SPORT FRESH WOMEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,223.9,397.0,61.1,1.1,0.2,559.8,115.0,Adequate,90967.5,178.75,32.5,0.16,274.9
INV000036,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,162.4,437.0,361.1,7.4,3.6,238.3,124.7,Adequate,48017.45,1491.1,725.4,1.8,19.8
INV000037,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,ZESTO-PKT-M,POCKET SPRAY MEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,81.4,256.1,147.5,2.6,0.6,190.0,133.2,Adequate,10497.5,143.65,33.15,1.09,38.6
INV000038,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,ZESTO-PKT-W,POCKET SPRAY WOMEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,431.7,303.6,460.0,3.3,3.2,275.3,74.7,Adequate,15210.33,182.32,176.8,1.3,18.0
INV000039,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,PURIS-GLOW75,GLOW BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,60,39.0,52.2,254.3,355.5,285.3,2.3,0.7,324.5,143.8,Adequate,12655.5,89.7,27.3,0.99,34.1
INV000040,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,PURIS-FRESH75,FRESH BAR 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,54,35.1,47.0,452.8,347.2,312.0,4.0,0.8,488.0,109.9,Adequate,17128.8,140.4,28.08,0.66,46.9
INV000041,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,PURIS-VALUE10,VALUE SACHET,BATH SOAP,BATH SOAP,PERSONAL CARE,13,8.45,11.31,403.4,445.0,547.2,7.5,1.9,301.2,104.8,Adequate,2545.14,63.37,16.05,1.55,16.5
INV000042,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,PURIS-GUARD75,GUARD SOAP 75G,BATH SOAP,BATH SOAP,PERSONAL CARE,56,36.4,48.72,172.3,394.4,437.0,7.8,1.2,129.7,106.9,Adequate,4721.08,283.92,43.68,2.89,8.9
INV000043,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FOAMX-SG200,SHOWER GEL 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,255,165.75,221.85,108.3,710.8,589.9,7.1,4.5,229.2,106.1,Adequate,37989.9,1176.83,745.88,3.5,11.7
INV000044,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FOAMX-SG100,SHOWER GEL 100ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,138,89.7,120.06,465.5,496.5,615.7,6.7,5.4,346.3,82.1,Adequate,31063.11,600.99,484.38,1.52,16.9
INV000045,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,CLEANOZ-HW200,HAND WASH 200ML,HAND WASH,HAND WASH,PERSONAL CARE,170,110.5,147.9,93.2,762.8,494.4,8.5,4.2,361.6,68.2,Adequate,39956.8,939.25,464.1,2.17,21.9
INV000046,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,CLEANOZ-HW500,HAND WASH 500ML,HAND WASH,HAND WASH,PERSONAL CARE,275,178.75,239.25,576.1,674.2,653.7,12.5,3.8,596.6,63.3,Adequate,106642.25,2234.38,679.25,1.11,27.4
INV000047,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,CLEANOZ-PWDR,POWDER HAND WASH 100G,HAND WASH,HAND WASH,PERSONAL CARE,82,53.3,71.34,518.7,280.1,165.5,1.0,1.6,633.3,129.0,Adequate,33754.89,53.3,85.28,0.29,114.8
INV000048,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,DIVYA-PUJA,PUJA SPECIAL AGARBATTI,AGARBATTI,AGARBATTI,HOME ESSENTIALS,48,31.2,41.76,272.2,495.6,436.9,3.2,3.3,330.9,126.1,Adequate,10324.08,99.84,102.96,1.45,22.7
INV000049,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,DIVYA-DHOOP,DHOOP STICKS,AGARBATTI,AGARBATTI,HOME ESSENTIALS,72,46.8,62.64,412.5,546.7,280.0,6.2,2.2,679.2,131.3,Adequate,31786.56,290.16,102.96,0.51,72.8
INV000050,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,DIVYA-ECO,ECONOMY PACK,AGARBATTI,AGARBATTI,HOME ESSENTIALS,24,15.6,20.88,332.1,412.3,225.1,1.3,1.8,519.3,104.7,Adequate,8101.08,20.28,28.08,0.53,69.2
INV000051,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,SHINEZ-FC500,FLOOR CLEAN 500ML,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,112,72.8,97.44,216.7,264.4,234.0,5.5,0.9,247.1,100.3,Adequate,17988.88,400.4,65.52,1.01,31.7
INV000052,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,SHINEZ-FC1L,FLOOR CLEAN 1 LTR,FLOOR CLEANER,FLOOR CLEANER,HOME CARE,190,123.5,165.3,301.0,691.5,531.6,4.4,1.4,460.9,142.2,Adequate,56921.15,543.4,172.9,1.4,26.0
INV000053,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,BLOSOM-TLC100,BODY TALC 100G,BODY TALC,BODY TALC,PERSONAL CARE,88,57.2,76.56,461.0,164.3,83.6,0.9,0.8,541.7,83.6,Adequate,30985.24,51.48,45.76,0.17,194.4
INV000054,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,BLOSOM-TLC200,BODY TALC 200G,BODY TALC,BODY TALC,PERSONAL CARE,155,100.75,134.85,314.3,661.1,483.5,9.9,2.2,491.9,135.4,Adequate,49558.92,997.43,221.65,1.2,30.5
INV000055,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,GUARDIA-HS100,HAND SANITIZER 100ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,82,53.3,71.34,368.9,158.4,101.7,2.2,0.3,425.6,124.6,Adequate,22684.48,117.26,15.99,0.26,125.5
INV000056,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,GUARDIA-HS200,HAND SANITIZER 200ML,HAND SANITIZER,HAND SANITIZER,PERSONAL CARE,138,89.7,120.06,162.0,633.6,233.9,5.8,1.6,561.7,112.8,Adequate,50384.49,520.26,143.52,0.65,72.0
INV000057,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,HELIX-AL100,ANTISEPTIC LIQUID 100ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,78,50.7,67.86,347.4,250.0,200.5,2.8,1.4,396.9,117.8,Adequate,20122.83,141.96,70.98,0.54,59.4
INV000058,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,HELIX-AL500,ANTISEPTIC LIQUID 500ML,ANTISEPTIC,ANTISEPTIC,PERSONAL CARE,285,185.25,247.95,434.2,640.6,636.1,15.5,1.6,438.7,92.4,Adequate,81269.18,2871.38,296.4,1.46,20.7
INV000059,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,SHINEZ-SD500,SURFACE DISINFECTANT 500ML,SURFACE CARE,SURFACE CARE,HOME CARE,185,120.25,160.95,389.5,598.6,413.5,4.2,3.9,574.6,67.0,Adequate,69095.65,505.05,468.97,0.86,41.7
INV000060,January,1,Q1,2024,2024-01,DT1002,KAMATCHI TRADERS,Coimbatore,West,Tier 1,Suresh Pandian,33FICTD1002M1Z3,175000,5,FOAMX-BODYWASH,MOISTURISING BODY WASH 200ML,SHOWER GEL,SHOWER GEL,PERSONAL CARE,265,172.25,230.55,574.0,726.9,83.4,0.9,0.8,1217.5,114.9,Adequate,209714.38,155.03,137.8,0.09,437.9
INV000061,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,FLMSTK-CB01,CLASSIC BOX,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,10,6.5,8.7,570.4,503.5,448.4,6.7,2.2,625.5,158.9,Adequate,4065.75,43.55,14.3,0.75,41.8
INV000062,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,FLMSTK-WX40,WAX PREMIUM 40S,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,12,7.8,10.44,426.8,368.7,479.1,4.3,3.7,316.4,76.7,Adequate,2467.92,33.54,28.86,1.29,19.8
INV000063,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,FLMSTK-SF01,SAFETY PACK,FLAME STICKS,FLAME STICKS,HOME ESSENTIALS,9,5.85,7.83,593.5,459.0,251.5,4.6,1.5,801.0,74.3,Adequate,4685.85,26.91,8.77,0.36,95.5
INV000064,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,ZESTO-SPORT-M,SPORT BLAST MEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,296.3,333.2,216.9,5.4,1.9,412.6,129.1,Adequate,67047.5,877.5,308.75,0.61,57.1
INV000065,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,ZESTO-SPORT-W,SPORT FRESH WOMEN 150ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,250,162.5,217.5,184.4,683.1,629.9,12.3,3.8,237.6,120.8,Adequate,38610.0,1998.75,617.5,2.99,11.3
INV000066,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,ZESTO-LUXE-M,LUXE PARFUM MEN 120ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,310,201.5,269.7,248.3,242.3,295.0,3.7,2.5,195.6,89.7,Adequate,39413.4,745.55,503.75,1.33,19.9
INV000067,January,1,Q1,2024,2024-01,DT1003,MUTHTHU MARKETING,Madurai,South,Tier 1,Ganesh Selvam,33FICTD1003M1Z7,150000,9,ZESTO-PKT-M,POCKET SPRAY MEN 18ML,DEO & FRAGRANCE,DEO & FRAGRANCE,PERSONAL CARE,85,55.25,73.95,480.7,760.7,70.0,0.5,0.2,1171.4,151.6,Adequate,64719.85,27.62,11.05,0.08,502.0
